model_name,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.9153,0.0663,0.8571,0.1231,0.9523
KNeighborsClassifier,0.9683,0.0833,0.3571,0.1351,0.6948
SVC,0.7876,0.0208,0.6429,0.0403,0.8147
DecisionTreeClassifier,0.9901,0.3333,0.4286,0.375,0.7113
RandomForestClassifier,0.9955,0.6667,0.7143,0.6897,0.9933
XGBClassifier,0.9965,0.7692,0.7143,0.7407,0.9976
LGBMClassifier,0.9965,0.7692,0.7143,0.7407,0.9466
IsolationForest,0.9812,0.0385,0.0714,0.05,0.5818
OneClassSVM,0.9807,0.037,0.0714,0.0488,0.5972
AutoencoderMLP,0.9837,0.087,0.1429,0.1081,0.8165
